1630991121.407,29.0
1630991130.677,35.0,15.0
1630991130.903,34.0,22.0
1630991130.915,29.0,12.0
1630991131.058,45.0,38.0
1630991131.358,42.0,15.0
1630991131.448,33.0,29.0
1630991131.542,3.0,7.0
1630991131.669,10.0,2.0
1630991131.779,8.0,37.0
1630991131.845,25.0,55.0
1630991131.911,45.0,36.0
1630991132.181,39.0,34.0
1630991132.41,6.0,1.0
1630991132.582,10.0,14.0
1630991132.767,5.0,9.0
1630991132.775,15.0,13.0
1630991133.045,30.0,55.0
1630991133.299,6.0,3.0
1630991133.504,26.0,28.0
1630991133.754,31.0,24.0
1630991133.791,8.0,17.0
1630991133.841,49.0,3.0
1630991133.975,31.0,34.0
1630991134.094,25.0,29.0
1630991134.274,29.0,43.0
1630991134.43,10.0,57.0
1630991134.475,17.0,45.0
1630991134.672,6.0,44.0
1630991134.971,48.0,24.0
1630991135.02,0.0,16.0
1630991135.233,4.0,57.0
1630991135.34,31.0,28.0
1630991135.504,28.0,59.0
1630991135.512,29.0,33.0
1630991135.798,47.0,27.0
1630991135.971,22.0,45.0
1630991136.245,3.0,4.0
1630991136.376,16.0,0.0
1630991136.524,20.0,45.0
1630991136.54,48.0,15.0
1630991136.573,7.0,56.0
1630991136.851,16.0,17.0
1630991137.06,28.0,54.0
1630991137.282,37.0,53.0
1630991137.474,20.0,22.0
1630991137.605,47.0,51.0
1630991137.794,39.0,33.0
1630991137.97,4.0,18.0
1630991137.978,4.0,20.0
1630991138.089,47.0,20.0
1630991138.216,5.0,6.0
1630991138.224,38.0,0.0
1630991138.453,35.0,57.0
1630991138.564,14.0,53.0
1630991138.826,4.0,58.0
1630991138.883,35.0,9.0
1630991138.998,13.0,42.0
1630991139.216,43.0,19.0
1630991139.486,47.0,29.0
1630991139.678,3.0,33.0
1630991139.686,48.0,25.0
1630991139.838,9.0,6.0
1630991140.072,24.0,12.0
1630991140.346,3.0,57.0
1630991140.563,0.0,51.0
1630991140.846,3.0,20.0
1630991141.067,33.0,38.0
1630991141.268,26.0,10.0
1630991141.305,30.0,19.0
1630991141.337,24.0,49.0
1630991141.481,49.0,11.0
1630991141.69,29.0,43.0
1630991141.76,40.0,43.0
1630991141.809,21.0,9.0
1630991142.03,46.0,59.0
1630991142.059,21.0,56.0
1630991142.083,44.0,38.0
1630991142.182,21.0,24.0
1630991142.44,48.0,51.0
1630991142.579,3.0,51.0
1630991142.78,5.0,0.0
1630991142.903,24.0,29.0
1630991143.116,20.0,5.0
1630991143.329,33.0,28.0
1630991143.345,8.0,30.0
1630991143.37,45.0,37.0
1630991143.579,40.0,6.0
1630991143.689,43.0,33.0
1630991143.755,10.0,2.0
1630991143.959,2.0,47.0
1630991144.103,10.0,20.0
1630991144.402,27.0,11.0
1630991144.488,14.0,5.0
1630991144.529,17.0,8.0
1630991144.771,15.0,34.0
1630991145.017,23.0,20.0
1630991145.23,39.0,34.0
1630991145.435,29.0,13.0
1630991145.525,16.0,56.0
1630991145.533,10.0,18.0
1630991145.82,20.0,36.0
1630991146.102,17.0,12.0
1630991146.241,48.0,21.0
1630991146.352,16.0,11.0
1630991146.623,28.0,51.0
1630991146.782,45.0,0.0
1630991146.823,8.0,33.0
1630991147.053,0.0,31.0
1630991147.315,44.0,13.0
1630991147.446,27.0,35.0
1630991147.577,42.0,56.0
1630991147.782,15.0,24.0
1630991147.884,47.0,1.0
1630991147.987,24.0,48.0
1630991148.122,31.0,35.0
1630991148.134,16.0,5.0
1630991148.405,31.0,0.0
1630991148.696,19.0,5.0
1630991148.724,36.0,8.0
1630991148.851,34.0,47.0
1630991149.101,26.0,46.0
1630991149.376,16.0,27.0
1630991149.396,34.0,51.0
1630991149.609,8.0,51.0
1630991149.654,18.0,58.0
1630991149.687,25.0,47.0
1630991149.875,18.0,34.0
1630991150.101,18.0,28.0
1630991150.133,34.0,47.0
1630991150.371,4.0,40.0
1630991150.666,35.0,3.0
1630991150.916,15.0,31.0
1630991151.17,14.0,16.0
1630991151.207,25.0,25.0
1630991151.416,15.0,32.0
1630991151.527,47.0,17.0
1630991151.727,47.0,15.0
1630991151.822,29.0,9.0
1630991151.887,29.0,21.0
1630991152.01,39.0,58.0
1630991152.243,0.0,9.0
1630991152.415,17.0,26.0
1630991152.452,43.0,38.0
1630991152.69,21.0,59.0
1630991152.887,47.0,28.0
1630991153.145,37.0,15.0
1630991153.28,12.0,44.0
1630991153.469,34.0,54.0
1630991153.739,19.0,35.0
1630991153.985,26.0,21.0
1630991154.009,19.0,11.0
1630991154.017,48.0,58.0
1630991154.251,4.0,3.0
1630991154.431,15.0,11.0
1630991154.538,24.0,25.0
1630991154.759,4.0,6.0
1630991154.808,3.0,32.0
1630991154.943,41.0,34.0
1630991155.021,17.0,40.0
1630991155.107,15.0,7.0
1630991155.333,29.0,57.0
1630991155.55,48.0,22.0
1630991155.578,39.0,8.0
1630991155.779,7.0,21.0
1630991155.935,16.0,21.0
1630991156.09,46.0,55.0
1630991156.222,44.0,55.0
1630991156.344,12.0,13.0
1630991156.57,32.0,4.0
1630991156.664,48.0,32.0
1630991156.918,20.0,23.0
1630991157.16,14.0,19.0
1630991157.324,35.0,1.0
1630991157.565,2.0,46.0
1630991157.786,0.0,10.0
1630991157.91,19.0,25.0
1630991158.155,11.0,31.0
1630991158.446,16.0,19.0
1630991158.717,39.0,50.0
1630991158.856,41.0,17.0
1630991158.889,28.0,57.0
1630991159.098,33.0,36.0
1630991159.188,41.0,14.0
1630991159.196,4.0,6.0
1630991159.29,40.0,22.0
1630991159.356,40.0,4.0
1630991159.569,41.0,7.0
1630991159.847,34.0,17.0
1630991159.917,11.0,1.0
1630991159.983,2.0,52.0
1630991160.114,4.0,19.0
1630991160.261,27.0,2.0
1630991160.376,19.0,30.0
1630991160.552,41.0,56.0
1630991160.671,49.0,32.0
1630991160.929,6.0,10.0
1630991160.986,48.0,34.0
1630991161.228,18.0,30.0
1630991161.33,45.0,21.0
1630991161.56,1.0,45.0
1630991161.724,7.0,50.0
1630991161.949,5.0,13.0
1630991161.99,19.0,56.0
1630991161.998,21.0,35.0
1630991162.207,0.0,9.0
1630991162.469,4.0,3.0
1630991162.519,39.0,30.0
1630991162.551,15.0,44.0
1630991162.748,13.0,18.0
1630991162.9,42.0,16.0
1630991163.113,20.0,40.0
1630991163.264,18.0,21.0
1630991163.412,46.0,47.0
1630991163.612,34.0,28.0
1630991163.784,48.0,35.0
1630991164.039,21.0,49.0
1630991164.133,19.0,51.0
1630991164.153,14.0,19.0
1630991164.383,10.0,40.0
1630991164.395,42.0,18.0
1630991164.477,44.0,48.0
1630991164.67,25.0,0.0
1630991164.874,46.0,27.0
1630991165.145,37.0,43.0
1630991165.173,2.0,41.0
1630991165.198,0.0,40.0
1630991165.276,7.0,3.0
1630991165.579,14.0,25.0
1630991165.64,9.0,10.0
1630991165.69,18.0,50.0
1630991165.944,43.0,15.0
1630991166.132,34.0,15.0
1630991166.251,1.0,26.0
1630991166.501,9.0,43.0
1630991166.517,37.0,39.0
1630991166.816,0.0,37.0
1630991166.902,28.0,44.0
1630991166.943,15.0,20.0
1630991167.111,40.0,47.0
1630991167.377,28.0,22.0
1630991167.541,19.0,30.0
1630991167.767,28.0,33.0
1630991168.025,10.0,0.0
1630991168.303,0.0,54.0
1630991168.512,6.0,11.0
1630991168.598,31.0,4.0
1630991168.639,26.0,24.0
1630991168.889,8.0,14.0
1630991169.045,19.0,28.0
1630991169.115,20.0,23.0
1630991169.164,24.0,23.0
1630991169.418,8.0,41.0
1630991169.569,38.0,3.0
1630991169.729,19.0,59.0
1630991169.786,11.0,7.0
1630991169.84,49.0,28.0
1630991170.085,30.0,6.0
1630991170.368,24.0,56.0
1630991170.479,17.0,34.0
1630991170.717,34.0,51.0
1630991170.868,16.0,47.0
1630991170.876,39.0,7.0
1630991170.95,31.0,35.0
1630991171.085,24.0,15.0
1630991171.118,22.0,28.0
1630991171.417,20.0,27.0
1630991171.712,39.0,6.0
1630991172.003,11.0,52.0
1630991172.265,12.0,1.0
1630991172.318,30.0,21.0
1630991172.531,28.0,30.0
1630991172.732,9.0,54.0
1630991173.027,44.0,10.0
1630991173.158,9.0,57.0
1630991173.338,32.0,12.0
1630991173.621,31.0,33.0
1630991173.744,21.0,56.0
1630991173.76,41.0,40.0
1630991173.859,20.0,4.0
1630991174.158,29.0,4.0
1630991174.432,20.0,16.0
1630991174.535,30.0,38.0
1630991174.821,2.0,48.0
1630991175.022,12.0,20.0
1630991175.272,35.0,43.0
1630991175.387,9.0,18.0
1630991175.444,11.0,42.0
1630991175.493,4.0,0.0
1630991175.575,20.0,28.0
1630991175.628,44.0,29.0
1630991175.723,19.0,10.0
1630991175.796,23.0,25.0
1630991176.014,0.0,51.0
1630991176.157,46.0,49.0
1630991176.231,44.0,30.0
1630991176.321,14.0,24.0
1630991176.583,19.0,0.0
1630991176.645,11.0,5.0
1630991176.878,49.0,30.0
1630991176.903,10.0,53.0
1630991176.931,22.0,21.0
1630991176.997,18.0,43.0
1630991177.12,39.0,37.0
1630991177.214,14.0,38.0
1630991177.37,21.0,1.0
1630991177.423,36.0,29.0
1630991177.554,20.0,22.0
1630991177.665,16.0,7.0
1630991177.911,1.0,12.0
1630991177.923,23.0,36.0
1630991177.931,7.0,53.0
1630991178.095,3.0,32.0
1630991178.32,40.0,33.0
1630991178.378,33.0,15.0
1630991178.418,1.0,58.0
1630991178.513,10.0,18.0
1630991178.541,25.0,38.0
1630991178.836,33.0,22.0
1630991179.013,36.0,46.0
1630991179.283,14.0,44.0
1630991179.578,19.0,22.0
1630991179.603,9.0,42.0
1630991179.652,16.0,27.0
1630991179.824,48.0,20.0
1630991179.893,48.0,12.0
1630991179.939,28.0,40.0
1630991179.984,42.0,23.0
1630991180.266,22.0,1.0
1630991180.274,21.0,26.0
1630991180.291,19.0,31.0
1630991180.348,19.0,46.0
1630991180.602,16.0,14.0
1630991180.758,14.0,55.0
1630991180.893,16.0,17.0
1630991181.172,10.0,12.0
1630991181.463,31.0,14.0
1630991181.729,27.0,24.0
1630991181.913,33.0,50.0
1630991182.04,49.0,9.0
1630991182.147,44.0,24.0
1630991182.2,12.0,59.0
1630991182.335,7.0,23.0
1630991182.433,9.0,50.0
1630991182.589,41.0,1.0
1630991182.712,3.0,29.0
1630991183.007,3.0,1.0
1630991183.068,41.0,3.0
1630991183.089,18.0,7.0
1630991183.314,22.0,59.0
1630991183.556,4.0,51.0
1630991183.65,45.0,30.0
1630991183.822,12.0,56.0
1630991183.941,26.0,13.0
1630991184.187,21.0,39.0
1630991184.421,29.0,28.0
1630991184.67,28.0,57.0
1630991184.793,38.0,8.0
1630991184.92,26.0,8.0
1630991185.129,49.0,15.0
1630991185.158,26.0,8.0
1630991185.453,19.0,4.0
1630991185.592,16.0,58.0
1630991185.883,33.0,58.0
1630991185.904,48.0,1.0
1630991186.158,18.0,57.0
1630991186.203,11.0,58.0
1630991186.231,13.0,55.0
1630991186.436,8.0,28.0
1630991186.518,19.0,43.0
1630991186.694,42.0,53.0
1630991186.87,3.0,55.0
1630991187.042,25.0,44.0
1630991187.305,32.0,19.0
1630991187.436,35.0,8.0
1630991187.608,10.0,54.0
1630991187.678,28.0,45.0
1630991187.723,29.0,15.0
1630991187.751,37.0,43.0
1630991187.788,16.0,34.0
1630991187.87,25.0,24.0
1630991187.923,6.0,39.0
1630991188.091,43.0,26.0
1630991188.325,24.0,27.0
1630991188.517,30.0,7.0
1630991188.685,10.0,22.0
1630991188.788,14.0,32.0
1630991189.03,35.0,51.0
1630991189.238,10.0,40.0
1630991189.251,3.0,10.0
1630991189.435,0.0,25.0
1630991189.501,34.0,8.0
1630991189.509,36.0,40.0
1630991189.697,49.0,22.0
1630991189.927,33.0,57.0
1630991189.959,2.0,9.0
1630991190.242,25.0,29.0
1630991190.365,45.0,45.0
1630991190.386,41.0,21.0
1630991190.459,14.0,22.0
1630991190.467,33.0,26.0
1630991190.484,1.0,50.0
1630991190.627,25.0,58.0
1630991190.693,31.0,56.0
1630991190.709,8.0,44.0
1630991190.959,8.0,51.0
1630991191.156,0.0,14.0
1630991191.353,49.0,45.0
1630991191.488,12.0,59.0
1630991191.742,21.0,26.0
1630991191.877,10.0,22.0
1630991192.053,43.0,55.0
1630991192.242,21.0,58.0
1630991192.463,41.0,13.0
1630991192.52,7.0,12.0
1630991192.565,25.0,8.0
1630991192.68,15.0,56.0
1630991192.77,47.0,29.0
1630991192.803,34.0,48.0
1630991192.844,29.0,46.0
1630991192.999,7.0,17.0
1630991193.204,21.0,7.0
1630991193.438,49.0,56.0
1630991193.696,38.0,50.0
1630991193.983,36.0,56.0
1630991194.265,24.0,2.0
1630991194.331,31.0,12.0
1630991194.581,2.0,35.0
1630991194.716,4.0,8.0
1630991194.999,31.0,50.0
1630991195.294,14.0,52.0
1630991195.33,37.0,9.0
1630991195.417,19.0,41.0
1630991195.523,8.0,29.0
1630991195.765,17.0,39.0
1630991195.831,49.0,0.0
1630991195.945,27.0,2.0
1630991196.089,30.0,21.0
1630991196.175,30.0,5.0
1630991196.31,44.0,25.0
1630991196.514,33.0,0.0
1630991196.572,34.0,57.0
1630991196.85,31.0,58.0
1630991197.059,42.0,20.0
1630991197.309,1.0,22.0
1630991197.453,35.0,55.0
1630991197.526,43.0,2.0
1630991197.539,41.0,41.0
1630991197.817,18.0,20.0
1630991197.846,5.0,22.0
1630991198.014,32.0,33.0
1630991198.207,28.0,24.0
1630991198.461,11.0,1.0
1630991198.674,4.0,11.0
1630991198.788,11.0,44.0
1630991198.997,22.0,13.0
1630991199.141,36.0,58.0
1630991199.333,38.0,43.0
1630991199.37,2.0,3.0
1630991199.542,19.0,32.0
1630991199.661,32.0,42.0
1630991199.759,9.0,13.0
1630991199.948,19.0,30.0
1630991199.96,15.0,58.0
1630991200.104,45.0,50.0
1630991200.263,8.0,23.0
1630991200.366,9.0,13.0
1630991200.616,1.0,45.0
1630991200.816,17.0,13.0
1630991201.017,16.0,44.0
1630991201.287,42.0,23.0
1630991201.402,29.0,37.0
1630991201.484,14.0,12.0
1630991201.64,26.0,27.0
1630991201.894,9.0,32.0
1630991202.181,22.0,49.0
1630991202.467,49.0,19.0
1630991202.566,40.0,23.0
1630991202.652,43.0,47.0
1630991202.836,48.0,7.0
1630991202.856,31.0,16.0
1630991203.016,13.0,34.0
1630991203.201,32.0,42.0
1630991203.213,41.0,31.0
1630991203.352,33.0,13.0
1630991203.483,30.0,44.0
1630991203.5,37.0,30.0
1630991203.779,8.0,26.0
1630991204.016,40.0,19.0
1630991204.151,12.0,18.0
1630991204.204,26.0,6.0
1630991204.417,45.0,1.0
1630991204.696,41.0,58.0
1630991204.749,20.0,57.0
1630991204.975,1.0,2.0
1630991205.11,37.0,44.0
1630991205.364,5.0,7.0
1630991205.511,8.0,39.0
1630991205.655,47.0,1.0
1630991205.819,7.0,5.0
1630991205.835,12.0,4.0
1630991206.122,9.0,39.0
1630991206.237,40.0,31.0
1630991206.384,22.0,33.0
1630991206.499,49.0,41.0
1630991206.65,31.0,36.0
1630991206.675,46.0,44.0
1630991206.822,38.0,31.0
1630991206.884,35.0,25.0
1630991207.085,37.0,57.0
1630991207.134,20.0,4.0
1630991207.228,25.0,43.0
1630991207.416,36.0,45.0
1630991207.658,7.0,32.0
1630991207.822,28.0,4.0
1630991207.925,31.0,40.0
1630991208.01,30.0,43.0
1630991208.178,48.0,44.0
1630991208.297,49.0,25.0
1630991208.367,13.0,36.0
1630991208.65,48.0,59.0
1630991208.707,14.0,5.0
1630991208.797,7.0,45.0
1630991209.022,14.0,15.0
1630991209.231,47.0,9.0
1630991209.526,29.0,6.0
1630991209.694,48.0,45.0
1630991209.756,18.0,13.0
1630991210.034,3.0,43.0
1630991210.059,9.0,21.0
1630991210.235,34.0,15.0
1630991210.436,36.0,39.0
1630991210.649,0.0,13.0
1630991210.801,42.0,28.0
1630991210.886,31.0,27.0
1630991210.895,6.0,38.0
1630991211.1,17.0,14.0
1630991211.112,20.0,58.0
1630991211.329,46.0,44.0
1630991211.386,13.0,57.0
1630991211.583,34.0,16.0
1630991211.694,12.0,53.0
1630991211.771,24.0,44.0
1630991211.886,23.0,42.0
1630991212.165,27.0,9.0
1630991212.214,31.0,33.0
1630991212.447,39.0,40.0
1630991212.64,47.0,24.0
1630991212.812,8.0,40.0
1630991212.861,18.0,1.0
1630991212.877,42.0,13.0
1630991213.156,6.0,20.0
1630991213.451,18.0,50.0
1630991213.615,49.0,34.0
1630991213.644,21.0,31.0
1630991213.693,17.0,10.0
1630991213.947,25.0,21.0
1630991214.139,42.0,34.0
1630991214.213,46.0,47.0
1630991214.43,15.0,9.0
1630991214.705,15.0,40.0
1630991214.713,25.0,49.0
1630991215.008,23.0,54.0
1630991215.086,14.0,14.0
1630991215.106,25.0,57.0
1630991215.262,27.0,2.0
1630991215.34,22.0,59.0
1630991215.381,33.0,17.0
1630991215.61,40.0,46.0
1630991215.705,12.0,55.0
1630991215.745,16.0,21.0
1630991215.827,27.0,38.0
1630991215.889,22.0,27.0
1630991216.024,31.0,6.0
1630991216.319,30.0,35.0
1630991216.577,19.0,32.0
1630991216.72,12.0,26.0
1630991216.847,43.0,26.0
1630991216.974,26.0,13.0
1630991217.159,46.0,32.0
1630991217.319,9.0,57.0
1630991217.343,22.0,0.0
1630991217.495,15.0,20.0
1630991217.589,1.0,12.0
1630991217.863,27.0,17.0
1630991217.888,15.0,1.0
1630991218.126,49.0,7.0
1630991218.347,30.0,56.0
1630991218.372,31.0,27.0
1630991218.531,47.0,13.0
1630991218.757,29.0,2.0
1630991219.006,3.0,19.0
1630991219.174,27.0,4.0
1630991219.404,27.0,6.0
1630991219.412,22.0,21.0
1630991219.638,48.0,37.0
1630991219.687,44.0,27.0
1630991219.736,9.0,57.0
1630991219.908,1.0,44.0
1630991220.195,20.0,55.0
1630991220.211,27.0,35.0
1630991220.305,14.0,0.0
1630991220.428,17.0,43.0
1630991220.543,4.0,28.0
1630991220.83,25.0,53.0
1630991220.854,7.0,36.0
1630991220.936,42.0,22.0
1630991221.145,40.0,25.0
1630991221.215,6.0,21.0
1630991221.334,20.0,22.0
1630991221.453,35.0,32.0
1630991221.747,35.0,30.0
1630991221.879,13.0,11.0
1630991222.026,1.0,50.0
1630991222.173,47.0,34.0
1630991222.321,23.0,8.0
1630991222.595,32.0,59.0
1630991222.751,45.0,22.0
1630991222.874,39.0,39.0
1630991222.968,36.0,7.0
1630991223.161,0.0,6.0
1630991223.362,15.0,44.0
1630991223.62,24.0,37.0
1630991223.693,45.0,46.0
1630991223.759,41.0,11.0
1630991223.898,6.0,59.0
1630991223.996,47.0,49.0
1630991224.062,22.0,25.0
1630991224.259,19.0,40.0
1630991224.554,48.0,13.0
1630991224.828,26.0,33.0
1630991224.927,43.0,23.0
1630991225.037,24.0,26.0
1630991225.041,30.0,41.0
1630991225.127,25.0,29.0
1630991225.25,8.0,25.0
1630991225.549,21.0,14.0
1630991225.611,6.0,12.0
1630991225.762,3.0,35.0
1630991226.045,5.0,22.0
1630991226.094,45.0,12.0
1630991226.164,31.0,0.0
1630991226.426,47.0,39.0
1630991226.598,1.0,19.0
1630991226.881,29.0,56.0
1630991226.909,1.0,36.0
1630991226.938,31.0,0.0
1630991227.004,1.0,45.0
1630991227.073,4.0,57.0
1630991227.266,15.0,48.0
1630991227.327,16.0,13.0
1630991227.406,36.0,30.0
1630991227.561,26.0,59.0
1630991227.77,32.0,31.0
1630991228.04,1.0,27.0
1630991228.122,8.0,57.0
1630991228.159,2.0,58.0
1630991228.183,38.0,34.0
1630991228.389,46.0,3.0
1630991228.552,23.0,46.0
1630991228.733,5.0,34.0
1630991228.855,31.0,57.0
1630991228.925,29.0,54.0
1630991229.155,6.0,56.0
1630991229.171,47.0,53.0
1630991229.454,7.0,20.0
1630991229.511,0.0,36.0
1630991229.527,33.0,35.0
1630991229.536,12.0,6.0
1630991229.74,8.0,27.0
1630991230.015,37.0,56.0
1630991230.171,24.0,6.0
1630991230.379,33.0,21.0
1630991230.539,21.0,36.0
1630991230.752,14.0,29.0
1630991230.887,9.0,18.0
1630991231.084,10.0,27.0
1630991231.125,42.0,35.0
1630991231.146,11.0,0.0
1630991231.359,9.0,10.0
1630991231.641,45.0,38.0
1630991231.777,38.0,44.0
1630991231.961,40.0,50.0
1630991232.076,25.0,58.0
1630991232.35,37.0,2.0
1630991232.641,20.0,22.0
1630991232.846,34.0,0.0
1630991232.989,3.0,20.0
1630991233.043,25.0,22.0
1630991233.186,20.0,18.0
1630991233.428,15.0,15.0
1630991233.706,34.0,27.0
1630991233.981,30.0,10.0
1630991234.075,6.0,1.0
1630991234.321,22.0,55.0
1630991234.558,25.0,40.0
1630991234.632,36.0,37.0
1630991234.837,37.0,35.0
1630991235.021,45.0,56.0
1630991235.304,32.0,47.0
1630991235.357,49.0,5.0
1630991235.406,27.0,6.0
1630991235.5,45.0,56.0
1630991235.759,31.0,45.0
1630991235.968,29.0,50.0
1630991235.992,7.0,42.0
1630991236.046,23.0,40.0
1630991236.246,33.0,14.0
1630991236.328,7.0,23.0
1630991236.472,37.0,49.0
1630991236.759,36.0,11.0
1630991236.955,22.0,10.0
1630991237.185,4.0,26.0
1630991237.303,17.0,43.0
1630991237.443,13.0,12.0
1630991237.684,44.0,48.0
1630991237.766,29.0,5.0
1630991237.774,37.0,20.0
1630991238.061,47.0,19.0
1630991238.127,13.0,0.0
1630991238.225,47.0,1.0
1630991238.315,5.0,40.0
1630991238.459,22.0,36.0
1630991238.491,19.0,9.0
1630991238.578,29.0,52.0
1630991238.811,8.0,7.0
1630991238.991,12.0,56.0
1630991239.003,45.0,48.0
1630991239.188,8.0,33.0
1630991239.356,5.0,54.0
1630991239.61,35.0,30.0
1630991239.872,29.0,38.0
1630991240.11,9.0,45.0
1630991240.237,48.0,24.0
1630991240.413,37.0,31.0
1630991240.458,48.0,57.0
1630991240.659,32.0,56.0
1630991240.736,33.0,30.0
1630991240.929,20.0,30.0
1630991240.982,3.0,48.0
1630991241.208,23.0,2.0
1630991241.478,0.0,5.0
1630991241.736,21.0,24.0
1630991241.97,47.0,28.0
1630991242.261,35.0,48.0
1630991242.519,24.0,23.0
1630991242.781,22.0,24.0
1630991242.916,39.0,56.0
1630991243.158,48.0,27.0
1630991243.453,17.0,3.0
1630991243.731,43.0,36.0
1630991243.768,46.0,22.0
1630991244.026,42.0,36.0
1630991244.129,31.0,21.0
1630991244.223,38.0,24.0
1630991244.481,37.0,23.0
1630991244.497,15.0,33.0
1630991244.555,38.0,51.0
1630991244.842,40.0,20.0
1630991244.874,26.0,49.0
1630991244.981,14.0,37.0
1630991245.104,38.0,6.0
1630991245.153,7.0,45.0
1630991245.26,29.0,31.0
1630991245.399,9.0,41.0
1630991245.468,25.0,34.0
1630991245.759,14.0,3.0
1630991245.886,1.0,12.0
1630991245.927,3.0,49.0
1630991246.161,30.0,59.0
1630991246.435,40.0,56.0
1630991246.726,4.0,18.0
1630991246.796,36.0,26.0
1630991247.058,24.0,38.0
1630991247.079,27.0,35.0
1630991247.206,41.0,49.0
1630991247.365,35.0,25.0
1630991247.525,11.0,12.0
1630991247.697,19.0,14.0
1630991247.8,4.0,51.0
1630991247.918,4.0,23.0
1630991247.992,13.0,11.0
1630991248.136,8.0,39.0
1630991248.144,22.0,12.0
1630991248.414,15.0,29.0
1630991248.529,43.0,20.0
1630991248.635,5.0,24.0
1630991248.787,11.0,9.0
1630991249.07,48.0,45.0
1630991249.18,10.0,40.0
1630991249.369,13.0,53.0
1630991249.635,35.0,0.0
1630991249.918,42.0,14.0
1630991250.213,13.0,53.0
1630991250.217,48.0,43.0
1630991250.475,41.0,37.0
1630991250.667,47.0,29.0
1630991250.876,19.0,40.0
1630991251.11,15.0,31.0
1630991251.323,46.0,10.0
1630991251.425,23.0,28.0
1630991251.45,20.0,16.0
1630991251.716,27.0,32.0
1630991251.827,30.0,36.0
1630991251.929,41.0,18.0
1630991252.204,19.0,23.0
1630991252.265,31.0,38.0
1630991252.45,17.0,12.0
1630991252.503,11.0,55.0
1630991252.617,29.0,7.0
1630991252.909,36.0,20.0
1630991253.166,42.0,41.0
1630991253.404,11.0,24.0
1630991253.576,13.0,30.0
1630991253.683,35.0,0.0
1630991253.744,45.0,17.0
1630991253.822,49.0,22.0
1630991254.006,17.0,59.0
1630991254.273,37.0,49.0
1630991254.576,18.0,38.0
1630991254.58,15.0,57.0
1630991254.695,29.0,24.0
1630991254.912,16.0,52.0
1630991255.006,10.0,38.0
1630991255.285,21.0,4.0
1630991255.53,30.0,57.0
1630991255.69,4.0,35.0
1630991255.899,21.0,48.0
1630991255.944,2.0,15.0
1630991256.153,10.0,0.0
1630991256.44,10.0,42.0
1630991256.649,1.0,20.0
1630991256.882,20.0,4.0
1630991256.89,5.0,28.0
1630991257.067,24.0,29.0
1630991257.259,44.0,56.0
1630991257.284,31.0,1.0
1630991257.472,38.0,43.0
1630991257.677,22.0,33.0
1630991257.771,1.0,3.0
1630991257.972,7.0,40.0
1630991258.029,39.0,21.0
1630991258.23,10.0,14.0
1630991258.525,28.0,11.0
1630991258.673,31.0,13.0
1630991258.89,18.0,15.0
1630991258.968,24.0,13.0
1630991259.234,37.0,55.0
1630991259.353,43.0,46.0
1630991259.459,31.0,18.0
1630991259.705,30.0,9.0
1630991259.996,32.0,54.0
1630991260.279,20.0,33.0
1630991260.488,38.0,4.0
1630991260.627,38.0,27.0
1630991260.688,8.0,16.0
1630991260.766,27.0,32.0
1630991260.844,29.0,30.0
1630991260.902,1.0,7.0
1630991261.127,39.0,40.0
