1631172601.909,1.0
1631172631.45,18.0,34.0
1631172631.676,18.0,28.0
1631172631.704,34.0,47.0
1631172631.942,4.0,40.0
1631172632.241,35.0,3.0
1631172632.491,15.0,31.0
1631172632.741,14.0,16.0
1631172632.777,25.0,25.0
1631172632.99,15.0,32.0
1631172633.101,47.0,17.0
1631172633.298,47.0,15.0
1631172633.392,29.0,9.0
1631172633.457,29.0,21.0
1631172633.584,39.0,58.0
1631172633.814,0.0,9.0
1631172633.986,17.0,26.0
1631172634.027,43.0,38.0
1631172634.26,21.0,59.0
1631172634.457,47.0,28.0
1631172634.719,37.0,15.0
1631172634.854,12.0,44.0
1631172635.043,34.0,54.0
1631172635.309,19.0,35.0
1631172635.555,26.0,21.0
1631172635.579,19.0,11.0
1631172635.588,48.0,58.0
1631172635.821,4.0,3.0
1631172636.001,15.0,11.0
1631172636.112,24.0,25.0
1631172636.329,4.0,6.0
1631172636.382,3.0,32.0
1631172636.513,41.0,34.0
1631172636.591,17.0,40.0
1631172636.681,15.0,7.0
1631172636.902,29.0,57.0
1631172637.12,48.0,22.0
1631172637.148,39.0,8.0
1631172637.353,7.0,21.0
1631172637.505,16.0,21.0
1631172637.664,46.0,55.0
1631172637.791,44.0,55.0
1631172637.914,12.0,13.0
1631172638.14,32.0,4.0
1631172638.234,48.0,32.0
1631172638.492,20.0,23.0
1631172638.729,14.0,19.0
1631172638.893,35.0,1.0
1631172639.139,2.0,46.0
1631172639.356,0.0,10.0
1631172639.483,19.0,25.0
1631172639.725,11.0,31.0
1631172640.02,16.0,19.0
1631172640.29,39.0,50.0
1631172640.425,41.0,17.0
1631172640.458,28.0,57.0
1631172640.671,33.0,36.0
1631172640.757,41.0,14.0
1631172640.769,4.0,6.0
1631172640.863,40.0,22.0
1631172640.925,40.0,4.0
1631172641.138,41.0,7.0
1631172641.421,34.0,17.0
1631172641.49,11.0,1.0
1631172641.556,2.0,52.0
1631172641.687,4.0,19.0
1631172641.834,27.0,2.0
1631172641.945,19.0,30.0
1631172642.121,41.0,56.0
1631172642.244,49.0,32.0
1631172642.502,6.0,10.0
1631172642.555,48.0,34.0
1631172642.801,18.0,30.0
1631172642.899,45.0,21.0
1631172643.133,1.0,45.0
1631172643.293,7.0,50.0
1631172643.522,5.0,13.0
1631172643.559,19.0,56.0
1631172643.567,21.0,35.0
1631172643.78,0.0,9.0
1631172644.042,4.0,3.0
1631172644.087,39.0,30.0
1631172644.124,15.0,44.0
1631172644.317,13.0,18.0
1631172644.468,42.0,16.0
1631172644.685,20.0,40.0
1631172644.833,18.0,21.0
1631172644.98,46.0,47.0
1631172645.185,34.0,28.0
1631172645.353,48.0,35.0
1631172645.607,21.0,49.0
1631172645.701,19.0,51.0
1631172645.722,14.0,19.0
1631172645.951,10.0,40.0
1631172645.967,42.0,18.0
1631172646.049,44.0,48.0
1631172646.242,25.0,0.0
1631172646.443,46.0,27.0
1631172646.713,37.0,43.0
1631172646.746,2.0,41.0
1631172646.77,0.0,40.0
1631172646.848,7.0,3.0
1631172647.147,14.0,25.0
1631172647.209,9.0,10.0
1631172647.258,18.0,50.0
1631172647.516,43.0,15.0
1631172647.7,34.0,15.0
1631172647.819,1.0,26.0
1631172648.073,9.0,43.0
1631172648.089,37.0,39.0
1631172648.384,0.0,37.0
1631172648.47,28.0,44.0
1631172648.515,15.0,20.0
1631172648.679,40.0,47.0
1631172648.95,28.0,22.0
1631172649.109,19.0,30.0
1631172649.335,28.0,33.0
1631172649.597,10.0,0.0
1631172649.871,0.0,54.0
1631172650.08,6.0,11.0
1631172650.166,31.0,4.0
1631172650.207,26.0,24.0
1631172650.457,8.0,14.0
1631172650.613,19.0,28.0
1631172650.686,20.0,23.0
1631172650.732,24.0,23.0
1631172650.985,8.0,41.0
1631172651.137,38.0,3.0
1631172651.301,19.0,59.0
1631172651.354,11.0,7.0
1631172651.407,49.0,28.0
1631172651.653,30.0,6.0
1631172651.936,24.0,56.0
1631172652.046,17.0,34.0
1631172652.284,34.0,51.0
1631172652.436,16.0,47.0
1631172652.444,39.0,7.0
1631172652.518,31.0,35.0
1631172652.657,24.0,15.0
1631172652.685,22.0,28.0
1631172652.984,20.0,27.0
1631172653.283,39.0,6.0
1631172653.574,11.0,52.0
1631172653.836,12.0,1.0
1631172653.89,30.0,21.0
1631172654.103,28.0,30.0
1631172654.299,9.0,54.0
1631172654.594,44.0,10.0
1631172654.725,9.0,57.0
1631172654.906,32.0,12.0
1631172655.188,31.0,33.0
1631172655.311,21.0,56.0
1631172655.332,41.0,40.0
1631172655.426,20.0,4.0
1631172655.725,29.0,4.0
1631172656.003,20.0,16.0
1631172656.102,30.0,38.0
1631172656.388,2.0,48.0
1631172656.589,12.0,20.0
1631172656.839,35.0,43.0
1631172656.954,9.0,18.0
1631172657.015,11.0,42.0
1631172657.06,4.0,0.0
1631172657.146,20.0,28.0
1631172657.195,44.0,29.0
1631172657.29,19.0,10.0
1631172657.363,23.0,25.0
1631172657.581,0.0,51.0
1631172657.728,46.0,49.0
1631172657.798,44.0,30.0
1631172657.888,14.0,24.0
1631172658.15,19.0,0.0
1631172658.211,11.0,5.0
1631172658.449,49.0,30.0
1631172658.469,10.0,53.0
1631172658.498,22.0,21.0
1631172658.564,18.0,43.0
1631172658.687,39.0,37.0
1631172658.781,14.0,38.0
1631172658.936,21.0,1.0
1631172658.994,36.0,29.0
1631172659.121,20.0,22.0
1631172659.231,16.0,7.0
1631172659.481,1.0,12.0
1631172659.493,23.0,36.0
1631172659.498,7.0,53.0
1631172659.662,3.0,32.0
1631172659.891,40.0,33.0
1631172659.948,33.0,15.0
1631172659.985,1.0,58.0
1631172660.079,10.0,18.0
1631172660.108,25.0,38.0
1631172660.403,33.0,22.0
1631172660.579,36.0,46.0
1631172660.853,14.0,44.0
1631172661.144,19.0,22.0
1631172661.173,9.0,42.0
1631172661.218,16.0,27.0
1631172661.39,48.0,20.0
1631172661.46,48.0,12.0
1631172661.505,28.0,40.0
1631172661.55,42.0,23.0
1631172661.832,22.0,1.0
1631172661.845,21.0,26.0
1631172661.857,19.0,31.0
1631172661.914,19.0,46.0
1631172662.172,16.0,14.0
1631172662.324,14.0,55.0
1631172662.463,16.0,17.0
1631172662.742,10.0,12.0
1631172663.033,31.0,14.0
1631172663.295,27.0,24.0
1631172663.479,33.0,50.0
1631172663.606,49.0,9.0
1631172663.717,44.0,24.0
1631172663.766,12.0,59.0
1631172663.901,7.0,23.0
1631172663.999,9.0,50.0
1631172664.155,41.0,1.0
1631172664.282,3.0,29.0
1631172664.577,3.0,1.0
1631172664.634,41.0,3.0
1631172664.655,18.0,7.0
1631172664.884,22.0,59.0
1631172665.122,4.0,51.0
1631172665.216,45.0,30.0
1631172665.392,12.0,56.0
1631172665.507,26.0,13.0
1631172665.753,21.0,39.0
1631172665.99,29.0,28.0
1631172666.236,28.0,57.0
1631172666.359,38.0,8.0
1631172666.49,26.0,8.0
1631172666.695,49.0,15.0
1631172666.723,26.0,8.0
1631172667.022,19.0,4.0
1631172667.158,16.0,58.0
1631172667.453,33.0,58.0
1631172667.469,48.0,1.0
1631172667.723,18.0,57.0
1631172667.768,11.0,58.0
1631172667.797,13.0,55.0
1631172668.001,8.0,28.0
1631172668.083,19.0,43.0
1631172668.26,42.0,53.0
1631172668.44,3.0,55.0
1631172668.612,25.0,44.0
1631172668.874,32.0,19.0
1631172669.005,35.0,8.0
1631172669.173,10.0,54.0
1631172669.243,28.0,45.0
1631172669.288,29.0,15.0
1631172669.316,37.0,43.0
1631172669.353,16.0,34.0
1631172669.435,25.0,24.0
1631172669.493,6.0,39.0
1631172669.656,43.0,26.0
1631172669.89,24.0,27.0
1631172670.082,30.0,7.0
1631172670.25,10.0,22.0
1631172670.357,14.0,32.0
1631172670.599,35.0,51.0
1631172670.803,10.0,40.0
1631172670.816,3.0,10.0
1631172671.0,0.0,25.0
1631172671.07,34.0,8.0
1631172671.074,36.0,40.0
1631172671.266,49.0,22.0
1631172671.492,33.0,57.0
1631172671.528,2.0,9.0
1631172671.807,25.0,29.0
1631172671.93,45.0,45.0
1631172671.95,41.0,21.0
1631172672.024,14.0,22.0
1631172672.032,33.0,26.0
1631172672.049,1.0,50.0
1631172672.196,25.0,58.0
1631172672.258,31.0,56.0
1631172672.278,8.0,44.0
1631172672.524,8.0,51.0
1631172672.72,0.0,14.0
1631172672.917,49.0,45.0
1631172673.052,12.0,59.0
1631172673.306,21.0,26.0
1631172673.441,10.0,22.0
1631172673.618,43.0,55.0
1631172673.806,21.0,58.0
1631172674.027,41.0,13.0
1631172674.084,7.0,12.0
1631172674.13,25.0,8.0
1631172674.244,15.0,56.0
1631172674.334,47.0,29.0
1631172674.367,34.0,48.0
1631172674.412,29.0,46.0
1631172674.564,7.0,17.0
1631172674.769,21.0,7.0
1631172675.002,49.0,56.0
1631172675.264,38.0,50.0
1631172675.547,36.0,56.0
1631172675.83,24.0,2.0
1631172675.895,31.0,12.0
1631172676.145,2.0,35.0
1631172676.28,4.0,8.0
1631172676.563,31.0,50.0
1631172676.858,14.0,52.0
1631172676.894,37.0,9.0
1631172676.981,19.0,41.0
1631172677.091,8.0,29.0
1631172677.329,17.0,39.0
1631172677.394,49.0,0.0
1631172677.513,27.0,2.0
1631172677.656,30.0,21.0
1631172677.738,30.0,5.0
1631172677.878,44.0,25.0
1631172678.078,33.0,0.0
1631172678.136,34.0,57.0
1631172678.418,31.0,58.0
1631172678.623,42.0,20.0
1631172678.873,1.0,22.0
1631172679.016,35.0,55.0
1631172679.09,43.0,2.0
1631172679.102,41.0,41.0
1631172679.385,18.0,20.0
1631172679.414,5.0,22.0
1631172679.578,32.0,33.0
1631172679.774,28.0,24.0
1631172680.028,11.0,1.0
1631172680.237,4.0,11.0
1631172680.356,11.0,44.0
1631172680.561,22.0,13.0
1631172680.704,36.0,58.0
1631172680.897,38.0,43.0
1631172680.938,2.0,3.0
1631172681.11,19.0,32.0
1631172681.224,32.0,42.0
1631172681.323,9.0,13.0
1631172681.515,19.0,30.0
1631172681.523,15.0,58.0
1631172681.667,45.0,50.0
1631172681.831,8.0,23.0
1631172681.929,9.0,13.0
1631172682.179,1.0,45.0
1631172682.384,17.0,13.0
1631172682.58,16.0,44.0
1631172682.851,42.0,23.0
1631172682.965,29.0,37.0
1631172683.047,14.0,12.0
1631172683.203,26.0,27.0
1631172683.457,9.0,32.0
1631172683.744,22.0,49.0
1631172684.03,49.0,19.0
1631172684.129,40.0,23.0
1631172684.215,43.0,47.0
1631172684.399,48.0,7.0
1631172684.419,31.0,16.0
1631172684.579,13.0,34.0
1631172684.764,32.0,42.0
1631172684.776,41.0,31.0
1631172684.919,33.0,13.0
1631172685.05,30.0,44.0
1631172685.063,37.0,30.0
1631172685.345,8.0,26.0
1631172685.579,40.0,19.0
1631172685.714,12.0,18.0
1631172685.767,26.0,6.0
1631172685.98,45.0,1.0
1631172686.259,41.0,58.0
1631172686.312,20.0,57.0
1631172686.537,1.0,2.0
1631172686.672,37.0,44.0
1631172686.93,5.0,7.0
1631172687.074,8.0,39.0
1631172687.217,47.0,1.0
1631172687.381,7.0,5.0
1631172687.401,12.0,4.0
1631172687.684,9.0,39.0
1631172687.803,40.0,31.0
1631172687.946,22.0,33.0
1631172688.065,49.0,41.0
1631172688.213,31.0,36.0
1631172688.237,46.0,44.0
1631172688.385,38.0,31.0
1631172688.446,35.0,25.0
1631172688.647,37.0,57.0
1631172688.696,20.0,4.0
1631172688.79,25.0,43.0
1631172688.979,36.0,45.0
1631172689.22,7.0,32.0
1631172689.384,28.0,4.0
1631172689.487,31.0,40.0
1631172689.573,30.0,43.0
1631172689.741,48.0,44.0
1631172689.859,49.0,25.0
1631172689.933,13.0,36.0
1631172690.212,48.0,59.0
1631172690.269,14.0,5.0
1631172690.359,7.0,45.0
1631172690.588,14.0,15.0
1631172690.793,47.0,9.0
1631172691.088,29.0,6.0
1631172691.256,48.0,45.0
1631172691.318,18.0,13.0
1631172691.596,3.0,43.0
1631172691.621,9.0,21.0
1631172691.797,34.0,15.0
1631172691.998,36.0,39.0
1631172692.215,0.0,13.0
1631172692.366,42.0,28.0
1631172692.448,31.0,27.0
1631172692.456,6.0,38.0
1631172692.661,17.0,14.0
1631172692.673,20.0,58.0
1631172692.891,46.0,44.0
1631172692.948,13.0,57.0
1631172693.145,34.0,16.0
1631172693.255,12.0,53.0
1631172693.333,24.0,44.0
1631172693.448,23.0,42.0
1631172693.726,27.0,9.0
1631172693.775,31.0,33.0
1631172694.009,39.0,40.0
1631172694.201,47.0,24.0
1631172694.373,8.0,40.0
1631172694.423,18.0,1.0
1631172694.439,42.0,13.0
1631172694.722,6.0,20.0
1631172695.016,18.0,50.0
1631172695.18,49.0,34.0
1631172695.205,21.0,31.0
1631172695.254,17.0,10.0
1631172695.508,25.0,21.0
1631172695.705,42.0,34.0
1631172695.774,46.0,47.0
1631172695.996,15.0,9.0
1631172696.266,15.0,40.0
1631172696.278,25.0,49.0
1631172696.573,23.0,54.0
1631172696.647,14.0,14.0
1631172696.671,25.0,57.0
1631172696.827,27.0,2.0
1631172696.901,22.0,59.0
1631172696.942,33.0,17.0
1631172697.171,40.0,46.0
1631172697.269,12.0,55.0
1631172697.306,16.0,21.0
1631172697.392,27.0,38.0
1631172697.45,22.0,27.0
1631172697.585,31.0,6.0
1631172697.88,30.0,35.0
1631172698.138,19.0,32.0
1631172698.281,12.0,26.0
1631172698.412,43.0,26.0
1631172698.539,26.0,13.0
1631172698.72,46.0,32.0
1631172698.879,9.0,57.0
1631172698.904,22.0,0.0
1631172699.056,15.0,20.0
1631172699.15,1.0,12.0
1631172699.424,27.0,17.0
1631172699.449,15.0,1.0
1631172699.686,49.0,7.0
1631172699.908,30.0,56.0
1631172699.932,31.0,27.0
1631172700.092,47.0,13.0
1631172700.317,29.0,2.0
1631172700.567,3.0,19.0
1631172700.735,27.0,4.0
1631172700.964,27.0,6.0
1631172700.973,22.0,21.0
1631172701.198,48.0,37.0
1631172701.247,44.0,27.0
1631172701.3,9.0,57.0
1631172701.468,1.0,44.0
1631172701.755,20.0,55.0
1631172701.775,27.0,35.0
1631172701.87,14.0,0.0
1631172701.988,17.0,43.0
1631172702.103,4.0,28.0
1631172702.394,25.0,53.0
1631172702.414,7.0,36.0
1631172702.496,42.0,22.0
1631172702.705,40.0,25.0
1631172702.775,6.0,21.0
1631172702.898,20.0,22.0
1631172703.012,35.0,32.0
1631172703.307,35.0,30.0
1631172703.439,13.0,11.0
1631172703.586,1.0,50.0
1631172703.737,47.0,34.0
1631172703.885,23.0,8.0
1631172704.155,32.0,59.0
1631172704.311,45.0,22.0
1631172704.434,39.0,39.0
1631172704.528,36.0,7.0
1631172704.721,0.0,6.0
1631172704.925,15.0,44.0
1631172705.179,24.0,37.0
1631172705.257,45.0,46.0
1631172705.319,41.0,11.0
1631172705.458,6.0,59.0
1631172705.556,47.0,49.0
1631172705.622,22.0,25.0
1631172705.823,19.0,40.0
1631172706.113,48.0,13.0
1631172706.392,26.0,33.0
1631172706.486,43.0,23.0
1631172706.597,24.0,26.0
1631172706.605,30.0,41.0
1631172706.687,25.0,29.0
1631172706.81,8.0,25.0
1631172707.109,21.0,14.0
1631172707.17,6.0,12.0
1631172707.322,3.0,35.0
1631172707.604,5.0,22.0
1631172707.654,45.0,12.0
1631172707.723,31.0,0.0
1631172707.99,47.0,39.0
1631172708.157,1.0,19.0
1631172708.44,29.0,56.0
1631172708.469,1.0,36.0
1631172708.501,31.0,0.0
1631172708.563,1.0,45.0
1631172708.633,4.0,57.0
1631172708.825,15.0,48.0
1631172708.887,16.0,13.0
1631172708.968,36.0,30.0
1631172709.12,26.0,59.0
1631172709.329,32.0,31.0
1631172709.599,1.0,27.0
1631172709.681,8.0,57.0
1631172709.718,2.0,58.0
1631172709.743,38.0,34.0
1631172709.952,46.0,3.0
1631172710.115,23.0,46.0
1631172710.292,5.0,34.0
1631172710.414,31.0,57.0
1631172710.488,29.0,54.0
1631172710.714,6.0,56.0
1631172710.73,47.0,53.0
1631172711.013,7.0,20.0
1631172711.07,0.0,36.0
1631172711.086,33.0,35.0
1631172711.095,12.0,6.0
1631172711.303,8.0,27.0
1631172711.578,37.0,56.0
1631172711.729,24.0,6.0
1631172711.938,33.0,21.0
1631172712.098,21.0,36.0
1631172712.311,14.0,29.0
1631172712.446,9.0,18.0
1631172712.643,10.0,27.0
1631172712.684,42.0,35.0
1631172712.704,11.0,0.0
1631172712.917,9.0,10.0
1631172713.204,45.0,38.0
1631172713.335,38.0,44.0
1631172713.519,40.0,50.0
1631172713.638,25.0,58.0
1631172713.909,37.0,2.0
1631172714.199,20.0,22.0
1631172714.404,34.0,0.0
1631172714.552,3.0,20.0
1631172714.601,25.0,22.0
1631172714.744,20.0,18.0
1631172714.986,15.0,15.0
1631172715.264,34.0,27.0
1631172715.539,30.0,10.0
1631172715.633,6.0,1.0
1631172715.879,22.0,55.0
1631172716.117,25.0,40.0
1631172716.19,36.0,37.0
1631172716.399,37.0,35.0
1631172716.58,45.0,56.0
1631172716.866,32.0,47.0
1631172716.915,49.0,5.0
1631172716.965,27.0,6.0
1631172717.059,45.0,56.0
1631172717.321,31.0,45.0
1631172717.526,29.0,50.0
1631172717.55,7.0,42.0
1631172717.604,23.0,40.0
1631172717.808,33.0,14.0
1631172717.89,7.0,23.0
1631172718.029,37.0,49.0
1631172718.316,36.0,11.0
1631172718.513,22.0,10.0
1631172718.742,4.0,26.0
1631172718.861,17.0,43.0
1631172719.0,13.0,12.0
1631172719.242,44.0,48.0
1631172719.324,29.0,5.0
1631172719.332,37.0,20.0
1631172719.619,47.0,19.0
1631172719.684,13.0,0.0
1631172719.783,47.0,1.0
1631172719.873,5.0,40.0
1631172720.02,22.0,36.0
1631172720.049,19.0,9.0
1631172720.139,29.0,52.0
1631172720.368,8.0,7.0
1631172720.553,12.0,56.0
1631172720.561,45.0,48.0
1631172720.745,8.0,33.0
1631172720.913,5.0,54.0
1631172721.167,35.0,30.0
1631172721.429,29.0,38.0
1631172721.671,9.0,45.0
1631172721.794,48.0,24.0
1631172721.97,37.0,31.0
1631172722.015,48.0,57.0
1631172722.22,32.0,56.0
1631172722.294,33.0,30.0
1631172722.486,20.0,30.0
1631172722.54,3.0,48.0
1631172722.769,23.0,2.0
1631172723.039,0.0,5.0
1631172723.293,21.0,24.0
1631172723.531,47.0,28.0
1631172723.818,35.0,48.0
1631172724.076,24.0,23.0
1631172724.338,22.0,24.0
1631172724.473,39.0,56.0
1631172724.719,48.0,27.0
1631172725.014,17.0,3.0
1631172725.288,43.0,36.0
1631172725.325,46.0,22.0
1631172725.583,42.0,36.0
1631172725.686,31.0,21.0
1631172725.784,38.0,24.0
1631172726.038,37.0,23.0
1631172726.054,15.0,33.0
1631172726.112,38.0,51.0
1631172726.398,40.0,20.0
1631172726.431,26.0,49.0
1631172726.538,14.0,37.0
1631172726.664,38.0,6.0
1631172726.71,7.0,45.0
1631172726.816,29.0,31.0
1631172726.955,9.0,41.0
1631172727.025,25.0,34.0
1631172727.316,14.0,3.0
1631172727.447,1.0,12.0
1631172727.488,3.0,49.0
1631172727.721,30.0,59.0
1631172727.996,40.0,56.0
1631172728.282,4.0,18.0
1631172728.352,36.0,26.0
1631172728.614,24.0,38.0
1631172728.635,27.0,35.0
1631172728.762,41.0,49.0
1631172728.922,35.0,25.0
1631172729.081,11.0,12.0
1631172729.253,19.0,14.0
1631172729.356,4.0,51.0
1631172729.475,4.0,23.0
1631172729.548,13.0,11.0
1631172729.692,8.0,39.0
1631172729.7,22.0,12.0
1631172729.97,15.0,29.0
1631172730.085,43.0,20.0
1631172730.195,5.0,24.0
1631172730.343,11.0,9.0
1631172730.626,48.0,45.0
1631172730.736,10.0,40.0
1631172730.925,13.0,53.0
1631172731.191,35.0,0.0
1631172731.478,42.0,14.0
1631172731.768,13.0,53.0
1631172731.777,48.0,43.0
1631172732.031,41.0,37.0
1631172732.223,47.0,29.0
1631172732.436,19.0,40.0
1631172732.666,15.0,31.0
1631172732.879,46.0,10.0
1631172732.985,23.0,28.0
1631172733.006,20.0,16.0
1631172733.272,27.0,32.0
1631172733.382,30.0,36.0
1631172733.485,41.0,18.0
1631172733.759,19.0,23.0
1631172733.825,31.0,38.0
1631172734.005,17.0,12.0
1631172734.058,11.0,55.0
1631172734.173,29.0,7.0
1631172734.468,36.0,20.0
1631172734.722,42.0,41.0
1631172734.964,11.0,24.0
1631172735.132,13.0,30.0
1631172735.238,35.0,0.0
1631172735.299,45.0,17.0
1631172735.377,49.0,22.0
1631172735.562,17.0,59.0
1631172735.832,37.0,49.0
1631172736.131,18.0,38.0
1631172736.139,15.0,57.0
1631172736.25,29.0,24.0
1631172736.467,16.0,52.0
1631172736.561,10.0,38.0
1631172736.84,21.0,4.0
1631172737.09,30.0,57.0
